################################################
##                   SPRank                   ##
################################################
in_rec:          1AM0-A-41-AMP/amber/rec.amber.mol2
in_cpd:          1AM0-A-41-AMP/amber/lig_charged.amber.mol2
in_poses:        1AM0-A-41-AMP/pose/pose.mol2
stats:           0
verbose:         0
Load receptor: default_name from 1AM0-A-41-AMP/amber/rec.amber.mol2
--> heavy atom num: 344
Load compound: MOL from 1AM0-A-41-AMP/amber/lig_charged.amber.mol2
--> heavy atom num: 23
************************************************
*                PARAMETER INFO                *
************************************************
T: 25
rt_to_kcal_per_mol: 0.593
gamma_SASA: 0.0054
r_water: 1.4
pairwise_dis_upper_bound: 10
pairwise_bin_size: 0.5
pairwise_bin_num: 20
pairwise_potentials_map.size(): 348
sasa_points.size(): 8
************************************************
*                   REC INFO                   *
************************************************
name: default_name
rdock_03_76 -595.982 -2.621 -60.027
rdock_03_77 -577.823 -2.517 -62.836
rdock_03_79 -587.929 -2.677 -53.132
rdock_03_80 -516.501 -2.053 -56.033
rdock_03_81 -544.303 -2.518 -53.046
rdock_03_82 -246.663 -2.051 -1.467
rdock_03_84 -377.519 -2.595 -19.776
rdock_03_85 -522.169 -2.509 -61.709
rdock_03_86 -572.638 -2.264 -60.213
rdock_03_87 -571.118 -2.332 -67.770
rdock_03_88 -540.391 -2.746 -60.448
rdock_03_90 -578.937 -2.389 -67.901
rdock_03_91 -522.717 -2.865 -54.804
rdock_03_92 -572.750 -2.775 -56.226
rdock_03_97 -495.031 -2.605 -48.096
rdock_03_98 -557.967 -2.361 -49.961
rdock_03_102 -618.924 -2.437 -63.433
rdock_03_105 -584.900 -2.546 -67.049
rdock_03_106 -518.454 -2.249 -56.652
rdock_03_109 -562.758 -2.423 -65.296
rdock_03_111 -549.442 -2.664 -57.196
rdock_03_112 -540.990 -2.256 -62.011
rdock_03_114 -578.112 -2.527 -68.907
rdock_03_118 -572.206 -2.572 -53.634
rdock_03_119 -343.187 -2.402 -14.309
rdock_03_120 -574.363 -2.485 -68.250
rdock_03_121 -437.668 -2.522 -30.736
rdock_03_122 -600.474 -2.449 -60.931
rdock_03_124 -495.002 -2.671 -46.328
rdock_03_125 -498.017 -2.657 -44.732
rdock_03_127 -533.368 -2.262 -57.054
rdock_03_128 -560.906 -2.721 -57.026
rdock_03_132 -603.286 -2.786 -58.036
rdock_03_133 -501.744 -2.628 -46.935
rdock_03_134 -337.680 -2.195 -9.154
rdock_03_136 -601.029 -2.608 -63.494
rdock_03_140 -580.963 -2.493 -66.557
rdock_03_143 -339.988 -2.522 -9.337
rdock_03_146 -522.574 -2.353 -56.261
rdock_03_147 -355.527 -2.303 -14.648
rdock_04_2 -522.485 -2.694 -45.248
rdock_04_5 -571.274 -2.615 -61.915
rdock_04_6 -592.845 -2.431 -58.839
rdock_04_7 -206.845 -2.444 7.207
rdock_04_8 -562.590 -2.875 -60.663
rdock_04_9 -546.973 -2.712 -53.039
rdock_04_10 -534.835 -2.878 -54.556
rdock_04_14 -553.220 -2.802 -52.075
rdock_04_15 -599.589 -2.659 -67.763
rdock_04_16 -533.078 -2.430 -58.252
rdock_04_17 -351.070 -2.356 -13.736
rdock_04_18 -531.312 -2.886 -51.459
rdock_04_24 -560.812 -2.434 -60.961
rdock_04_25 -334.732 -2.443 -14.360
rdock_04_26 -500.609 -2.747 -52.585
rdock_04_29 -533.326 -2.852 -57.699
rdock_04_32 -599.556 -2.540 -57.726
rdock_04_35 -539.859 -2.558 -52.334
rdock_04_36 -559.274 -2.738 -58.324
rdock_04_37 -554.871 -2.494 -60.698
rdock_04_38 -551.904 -2.750 -50.136
rdock_04_39 -592.733 -2.431 -59.229
rdock_04_40 -530.888 -2.276 -61.002
rdock_04_43 -628.860 -2.501 -61.030
rdock_04_47 -504.498 -2.404 -56.557
rdock_04_48 -590.063 -2.487 -53.347
rdock_04_50 -591.045 -2.727 -63.648
rdock_04_51 -219.008 -2.114 -1.619
rdock_04_52 -532.076 -2.317 -59.927
rdock_04_56 -532.936 -2.175 -54.825
rdock_04_60 -538.966 -2.738 -62.735
rdock_04_62 -324.141 -2.531 -7.402
rdock_04_63 -547.812 -2.562 -57.173
rdock_04_64 -574.662 -2.630 -58.300
rdock_04_65 -534.919 -2.768 -58.569
rdock_04_73 -517.256 -2.569 -47.400
rdock_04_74 -392.985 -2.665 -31.952
rdock_04_82 -525.728 -2.593 -49.827
rdock_04_87 -587.797 -2.415 -54.465
rdock_04_91 -574.271 -2.756 -59.725
rdock_04_93 -530.220 -2.768 -61.191
rdock_04_96 -555.622 -2.453 -53.519
rdock_04_98 -540.017 -2.674 -54.265
rdock_04_101 -275.390 -2.186 -10.603
rdock_04_103 -384.016 -2.459 -4.813
rdock_04_105 -504.557 -2.398 -57.395
rdock_04_106 -562.934 -2.293 -58.249
rdock_04_107 -432.913 -2.408 -32.333
rdock_04_110 -578.062 -2.525 -65.772
rdock_04_112 -570.189 -2.506 -67.138
rdock_04_113 -581.247 -2.760 -57.331
rdock_04_114 -559.551 -2.598 -57.762
rdock_04_115 -496.985 -2.758 -42.268
rdock_04_116 -565.242 -2.748 -55.878
rdock_04_118 -577.988 -2.574 -66.496
rdock_04_119 -476.159 -2.687 -35.434
rdock_04_121 -586.033 -2.438 -60.386
rdock_04_123 -512.190 -2.342 -59.430
rdock_04_126 -574.553 -2.437 -63.881
rdock_04_128 -610.011 -2.836 -61.593
rdock_04_131 -535.385 -2.498 -61.655
rdock_04_135 -528.818 -2.267 -59.171
rdock_04_138 -590.577 -2.636 -63.203
rdock_04_142 -587.072 -2.661 -58.327
rdock_04_150 -445.297 -2.567 -35.505
rdock_05_6 -603.659 -2.434 -59.471
rdock_05_9 -586.785 -2.414 -64.064
rdock_05_10 -545.064 -2.440 -59.860
rdock_05_11 -540.576 -2.489 -56.970
rdock_05_24 -531.311 -2.741 -43.055
rdock_05_26 -549.286 -2.411 -55.467
rdock_05_29 -565.230 -2.596 -58.013
rdock_05_31 -504.034 -2.340 -57.139
rdock_05_35 -532.814 -2.419 -53.913
rdock_05_36 -522.182 -2.473 -67.482
rdock_05_38 -587.072 -2.426 -52.746
rdock_05_39 -555.942 -2.581 -58.043
rdock_05_40 -569.285 -2.499 -65.385
rdock_05_41 -573.435 -2.496 -67.703
rdock_05_44 -533.947 -2.515 -68.177
rdock_05_45 -559.380 -2.301 -55.084
rdock_05_47 -601.737 -2.421 -61.276
rdock_05_51 -556.933 -2.640 -66.333
rdock_05_54 -580.405 -2.400 -66.017
rdock_05_55 -564.400 -2.570 -60.874
rdock_05_56 -252.361 -2.713 5.325
rdock_05_57 -594.534 -2.704 -62.528
rdock_05_62 -548.486 -2.495 -53.010
rdock_05_65 -553.070 -2.205 -54.212
rdock_05_66 -564.480 -2.772 -45.564
rdock_05_72 -538.429 -2.661 -48.540
rdock_05_73 -237.932 -2.499 -1.249
rdock_05_74 -566.233 -2.333 -57.741
rdock_05_75 -571.643 -2.359 -66.699
rdock_05_76 -575.128 -2.615 -60.290
rdock_05_79 -606.217 -2.616 -59.955
rdock_05_82 -537.951 -2.525 -50.166
rdock_05_87 -481.725 -2.606 -36.638
rdock_05_88 -363.937 -2.662 -33.691
rdock_05_93 -580.911 -2.689 -53.667
rdock_05_94 -568.509 -2.457 -63.881
rdock_05_101 -561.572 -2.314 -61.118
rdock_05_102 -572.287 -2.561 -50.550
rdock_05_104 -556.308 -2.801 -47.975
rdock_05_107 -569.377 -2.569 -50.322
rdock_05_108 -541.417 -2.816 -45.516
rdock_05_109 -559.385 -2.626 -62.576
rdock_05_114 -594.878 -2.617 -63.547
rdock_05_116 -542.705 -2.531 -59.582
rdock_05_117 -558.927 -2.757 -55.151
rdock_05_120 -571.723 -2.659 -68.704
rdock_05_122 -574.852 -2.620 -59.752
rdock_05_126 -572.699 -2.381 -65.834
rdock_05_128 -499.948 -2.317 -48.876
rdock_05_131 -529.803 -2.718 -61.440
rdock_05_135 -564.813 -2.407 -61.131
rdock_05_143 -583.654 -2.668 -51.598
rdock_05_147 -568.772 -2.421 -63.974
rdock_05_148 -600.455 -2.536 -62.607
rdock_05_149 -556.468 -2.351 -56.850
rdock_05_150 -426.739 -2.554 -29.487
rdock_06_3 -446.710 -2.379 -27.821
rdock_06_4 -416.957 -2.492 -31.609
rdock_06_8 -583.407 -2.621 -61.807
rdock_06_10 -568.207 -2.406 -66.827
rdock_06_14 -504.782 -2.486 -41.939
rdock_06_15 -280.955 -2.135 2.979
rdock_06_17 -558.026 -2.543 -58.084
rdock_06_20 -525.836 -2.632 -44.721
rdock_06_21 -570.396 -2.752 -61.542
rdock_06_22 -580.245 -2.576 -68.009
rdock_06_23 -550.199 -2.624 -56.218
rdock_06_26 -565.265 -2.616 -60.280
rdock_06_27 -568.051 -2.387 -61.916
rdock_06_29 -591.593 -2.596 -60.657
rdock_06_32 -509.082 -2.580 -59.159
rdock_06_34 -478.294 -2.804 -48.349
rdock_06_35 -339.714 -2.048 -21.864
rdock_06_38 -177.430 -2.355 -3.256
rdock_06_40 -289.252 -1.923 -13.790
rdock_06_41 -478.699 -2.708 -55.612
rdock_06_43 -613.099 -2.435 -56.886
rdock_06_48 -551.464 -2.430 -64.364
rdock_06_50 -510.983 -2.771 -55.313
rdock_06_51 -566.967 -2.249 -62.347
rdock_06_53 -545.609 -2.714 -62.273
rdock_06_54 -549.175 -2.738 -62.124
rdock_06_56 -356.181 -2.563 -19.616
rdock_06_57 -337.415 -2.413 -11.848
rdock_06_65 -545.787 -2.379 -59.223
rdock_06_67 -572.127 -2.798 -49.737
rdock_06_69 -557.574 -2.256 -60.431
rdock_06_70 -331.131 -2.545 -11.075
rdock_06_75 -568.358 -2.419 -62.793
rdock_06_76 -149.329 -1.600 -1.084
rdock_06_79 -562.210 -2.688 -58.156
rdock_06_80 -571.529 -2.448 -59.605
rdock_06_83 -493.666 -2.776 -55.023
rdock_06_86 -286.922 -2.578 -2.303
rdock_06_88 -542.272 -2.431 -62.183
rdock_06_90 -443.995 -2.281 -35.762
rdock_06_91 -558.901 -2.366 -51.231
rdock_06_94 -605.704 -2.517 -62.159
rdock_06_99 -398.352 -2.420 -37.639
rdock_06_100 -152.807 -2.104 -1.595
rdock_06_102 -524.526 -2.729 -59.642
rdock_06_103 -501.284 -2.521 -53.659
rdock_06_104 -596.836 -2.738 -59.060
rdock_06_108 -590.418 -2.440 -63.586
rdock_06_109 -586.211 -2.648 -60.073
rdock_06_110 -547.728 -2.752 -67.394
rdock_06_112 -531.571 -2.507 -60.739
rdock_06_114 -595.423 -2.477 -55.731
rdock_06_115 -564.695 -2.471 -57.297
rdock_06_116 -582.398 -2.745 -65.540
rdock_06_118 -571.051 -2.525 -63.951
rdock_06_119 -562.753 -2.634 -55.693
rdock_06_122 -519.530 -2.936 -44.388
rdock_06_123 -487.736 -2.856 -49.650
rdock_06_126 -572.607 -2.602 -62.937
rdock_06_127 -580.183 -2.366 -61.473
rdock_06_129 -525.482 -2.504 -48.858
rdock_06_131 -529.154 -2.856 -46.552
rdock_06_133 -362.984 -2.281 -24.765
rdock_06_135 -205.855 -1.956 -0.458
rdock_06_138 -373.110 -2.593 -21.749
rdock_06_139 -302.487 -2.550 -19.314
rdock_06_140 -291.737 -2.360 -2.234
rdock_06_142 -553.312 -2.440 -59.101
rdock_06_143 -474.677 -2.329 -42.925
rdock_06_144 -263.634 -2.669 -1.188
rdock_06_145 -570.219 -2.744 -59.109
rdock_06_146 -589.237 -2.750 -60.972
rdock_06_149 -536.308 -2.932 -44.979
rdock_07_2 -560.501 -2.807 -64.578
rdock_07_3 -601.217 -2.752 -57.434
rdock_07_5 -225.470 -2.392 -3.620
rdock_07_6 -557.603 -2.797 -52.102
rdock_07_7 -577.331 -2.480 -57.851
rdock_07_8 -419.966 -2.465 -34.972
rdock_07_10 -516.359 -2.512 -59.151
rdock_07_14 -360.446 -2.459 -13.246
rdock_07_16 -229.159 -2.609 -16.638
rdock_07_17 -568.004 -2.333 -56.509
rdock_07_18 -580.964 -2.532 -67.005
rdock_07_19 -559.777 -2.491 -57.916
rdock_07_21 -557.985 -2.650 -54.917
rdock_07_22 -244.136 -2.634 0.260
rdock_07_23 -581.134 -2.832 -56.329
rdock_07_24 -551.743 -2.446 -58.041
rdock_07_25 -439.527 -2.685 -42.137
rdock_07_26 -489.230 -2.476 -48.632
rdock_07_27 -413.871 -2.260 -38.745
rdock_07_28 -590.937 -2.606 -62.954
rdock_07_30 -566.454 -2.561 -57.408
rdock_07_32 -523.946 -2.501 -49.918
rdock_07_35 -596.384 -2.506 -65.860
rdock_07_36 -561.012 -2.456 -61.727
rdock_07_38 -331.906 -2.596 -25.627
rdock_07_39 -540.206 -2.728 -60.041
rdock_07_42 -559.998 -2.693 -72.979
rdock_07_43 -295.024 -2.451 -14.155
rdock_07_44 -562.160 -2.946 -62.373
rdock_07_46 -447.828 -2.549 -42.426
rdock_07_48 -235.537 -2.639 0.087
rdock_07_49 -221.398 -2.792 2.396
rdock_07_50 -534.034 -2.513 -63.568
rdock_07_52 -511.662 -2.724 -46.194
rdock_07_54 -473.493 -2.760 -36.210
rdock_07_56 -563.945 -2.470 -57.340
rdock_07_58 -570.114 -2.708 -60.362
rdock_07_59 -529.471 -2.788 -62.143
rdock_07_60 -297.644 -2.591 -16.055
rdock_07_62 -578.260 -2.750 -60.587
rdock_07_63 -499.960 -2.361 -61.459
rdock_07_65 -487.552 -2.656 -51.825
rdock_07_66 -579.483 -2.440 -65.422
rdock_07_67 -182.243 -2.550 -0.473
rdock_07_69 -502.513 -2.026 -56.576
rdock_07_71 -587.919 -2.725 -56.875
rdock_07_73 -305.030 -2.452 -5.255
rdock_07_74 -164.685 -2.797 -2.012
rdock_07_75 -489.408 -2.352 -47.359
rdock_07_76 -577.881 -2.531 -55.173
rdock_07_77 -424.524 -2.659 -34.294
rdock_07_78 -416.942 -2.589 -40.722
rdock_07_79 -545.836 -2.741 -52.668
rdock_07_80 -552.722 -2.633 -66.384
rdock_07_81 -214.234 -2.704 -20.193
rdock_07_83 -172.461 -2.605 -9.926
rdock_07_85 -544.206 -2.524 -56.138
rdock_07_87 -139.239 -2.513 -0.266
rdock_07_90 -560.747 -2.573 -61.137
rdock_07_91 -532.962 -2.600 -57.219
rdock_07_92 -578.816 -2.704 -52.187
rdock_07_93 -523.386 -2.476 -59.372
rdock_07_97 -520.357 -2.752 -56.750
rdock_07_99 -570.281 -2.187 -56.413
rdock_07_101 -599.215 -2.732 -58.640
rdock_07_103 -496.989 -2.694 -44.865
rdock_07_104 -522.973 -2.961 -47.275
rdock_07_105 -158.203 -2.379 -0.458
rdock_07_110 -418.523 -2.651 -32.390
rdock_07_113 -541.035 -2.338 -66.153
rdock_07_114 -581.589 -2.710 -59.997
rdock_07_115 -597.624 -2.453 -58.033
rdock_07_116 -491.797 -2.730 -43.896
rdock_07_122 -550.851 -2.494 -59.787
rdock_07_123 -532.367 -2.740 -57.108
rdock_07_124 -427.037 -2.587 -40.017
rdock_07_126 -503.116 -2.692 -50.448
rdock_07_128 -537.885 -2.489 -61.638
rdock_07_134 -183.965 -2.442 0.433
rdock_07_137 -419.591 -2.541 -29.227
rdock_07_139 -521.119 -2.449 -61.351
rdock_07_141 -559.122 -2.678 -57.256
rdock_07_142 -524.042 -2.612 -50.176
rdock_07_143 -564.559 -2.675 -57.607
rdock_07_144 -503.708 -2.592 -48.394
rdock_07_147 -499.126 -2.678 -51.465
rdock_07_149 -462.572 -2.723 -34.448
rdock_07_150 -598.234 -2.418 -59.026
rdock_08_2 -243.963 -2.759 -4.630
rdock_08_3 -183.359 -2.391 2.484
rdock_08_4 -543.780 -2.189 -53.854
rdock_08_5 -571.733 -2.547 -68.867
rdock_08_7 -519.488 -2.695 -54.015
rdock_08_9 -565.126 -2.258 -66.041
rdock_08_12 -532.976 -2.786 -57.877
rdock_08_13 -571.788 -2.445 -55.794
rdock_08_14 -305.145 -2.723 -32.281
rdock_08_15 -550.823 -2.792 -52.109
rdock_08_16 -343.371 -2.454 -24.528
rdock_08_18 -536.801 -2.603 -60.020
rdock_08_22 -626.732 -2.490 -61.869
rdock_08_23 -384.190 -2.762 -13.545
rdock_08_24 -539.284 -2.572 -53.442
rdock_08_27 -408.922 -2.614 -26.838
rdock_08_28 -338.590 -2.424 -22.064
rdock_08_29 -91.605 -2.337 1.829
rdock_08_31 -267.672 -2.297 -12.107
rdock_08_32 -586.736 -2.549 -56.252
rdock_08_33 -178.128 -2.739 -4.581
rdock_08_36 -278.330 -2.539 -8.240
rdock_08_38 -562.956 -2.635 -61.194
rdock_08_43 -546.438 -2.816 -45.341
rdock_08_45 -501.335 -2.387 -52.787
rdock_08_46 -586.282 -2.543 -58.103
rdock_08_47 -92.503 -1.707 2.534
rdock_08_48 -203.636 -2.482 -10.030
rdock_08_49 -592.148 -2.442 -62.969
rdock_08_51 -477.034 -2.666 -45.370
rdock_08_52 -534.153 -2.754 -59.147
rdock_08_53 -156.321 -2.102 2.092
rdock_08_54 -209.345 -2.582 5.230
rdock_08_57 -536.060 -2.556 -55.252
rdock_08_58 -164.189 -2.338 -6.003
rdock_08_59 -465.056 -2.545 -54.121
rdock_08_60 -204.803 -2.755 4.000
rdock_08_61 -495.859 -2.695 -47.994
rdock_08_63 -196.425 -2.688 -4.177
rdock_08_64 -242.321 -2.918 -13.077
rdock_08_65 -247.588 -2.456 2.499
rdock_08_68 -555.275 -2.357 -58.627
rdock_08_69 -513.512 -2.752 -43.736
rdock_08_70 -560.416 -2.310 -62.870
rdock_08_72 -575.066 -2.790 -59.395
rdock_08_73 -560.480 -2.680 -63.400
rdock_08_75 -249.298 -2.392 -7.665
rdock_08_76 -224.351 -2.771 4.819
rdock_08_77 -196.834 -2.551 -1.434
rdock_08_78 -556.371 -2.339 -58.604
rdock_08_79 -540.855 -2.618 -57.827
rdock_08_81 -383.934 -2.328 -38.477
rdock_08_82 -181.707 -2.529 -5.448
rdock_08_83 -576.820 -2.438 -51.668
rdock_08_84 -605.199 -2.633 -60.673
rdock_08_87 -413.152 -2.625 -29.632
rdock_08_89 -479.133 -2.265 -40.277
rdock_08_90 -544.892 -2.188 -57.129
rdock_08_92 -614.204 -2.781 -56.032
rdock_08_93 -565.509 -2.677 -68.270
rdock_08_95 -497.574 -2.640 -47.420
rdock_08_96 -253.996 -2.205 -2.926
rdock_08_98 -575.399 -2.361 -64.537
rdock_08_100 -530.447 -2.855 -51.917
rdock_08_102 -272.095 -2.817 1.447
